Fecha,Calidad,HRV_Stability,Artifact_pct,Tiempo_Estabilizacion,HR_stable,RRbar_s,RMSSD_stable,RMSSD_stable_last2,lnRMSSD,cRMSSD,beta_est_90d,beta_use_90d,beta_mode,RR_ref_90d,N90_valid,IQR_RRbar_90d,R2_winsor_90d,ln_corr,Nprev30,P15_cRMSSD_30d,P30_cRMSSD_30d,HR_z14,Color_Tendencia,Color_Agudo_Diario,Color_Tiebreak,Flags,Notes
2025-05-12,FLAG_mecánico,Unstable,1.0909090909090908,,52.20627925525487,1.149287037037037,47.38349236640552,37.64144663363643,3.858273905731508,47.38349236640552,,,none,,0.0,,,0.0,0.0,,,,Indef,Indef,Indef,LAT_NAN|STAB_LAST2_MISMATCH|BETA_NONE,src=Franz_Dunn_2025-05-12_07-55-32_RR.CSV; dur_raw=308.2s; dur_eff=293.2s; t_start_eff=45.0s; lat_mode=none; dur_tramo=248.2s; dur_tail=120.0s; off=0; oor=0; dRR=3; n_base=275; n_clean=272; n_tramo=216; n_tail=108
2025-05-13,OK,OK,0.0,270.0,49.904594158226914,1.202294117647059,52.969667870260565,52.969667870260565,3.96971944538878,52.969667870260565,,,none,1.149287037037037,1.0,0.0,,0.0,1.0,,,,Indef,Indef,Indef,BETA_NONE,src=Franz_Dunn_2025-05-13_06-42-02_RR.CSV; dur_raw=386.8s; dur_eff=371.8s; t_start_eff=270.0s; lat_mode=primary; dur_tramo=101.8s; dur_tail=101.8s; off=0; oor=0; dRR=0; n_base=313; n_clean=313; n_tramo=85; n_tail=85
2025-05-14,OK,OK,0.0,30.0,45.390684102453264,1.3218571428571426,59.52782102017373,61.87846006668816,4.086443783441027,59.52782102017373,,,none,1.175790577342048,2.0,0.0265035403050111,,0.0,2.0,,,,Indef,Indef,Indef,BETA_NONE,src=Franz_Dunn_2025-05-14_07-25-23_RR.CSV; dur_raw=384.4s; dur_eff=369.4s; t_start_eff=45.0s; lat_mode=primary; dur_tramo=324.4s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=294; n_clean=294; n_tramo=245; n_tail=90
2025-05-15,OK,OK,0.0,120.0,54.41554729922834,1.102626050420168,30.383762041271165,27.08874304946612,3.413908322327544,30.383762041271165,,,none,1.202294117647059,3.0,0.0862850529100527,,0.0,3.0,,,,Indef,Indef,Indef,BETA_NONE,src=Franz_Dunn_2025-05-15_08-20-42_RR.CSV; dur_raw=397.6s; dur_eff=382.6s; t_start_eff=120.0s; lat_mode=primary; dur_tramo=262.6s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=358; n_clean=358; n_tramo=238; n_tail=111
2025-05-16,OK,OK,0.0,90.0,49.43344793213581,1.213753086419753,49.06023677376757,48.33839054002521,3.89304886502676,49.06023677376757,,,none,1.175790577342048,4.0,0.0945630835667601,,0.0,4.0,,,,Indef,Indef,Indef,BETA_NONE,src=Franz_Dunn_2025-05-16_07-52-03_RR.CSV; dur_raw=300.8s; dur_eff=285.8s; t_start_eff=90.0s; lat_mode=primary; dur_tramo=195.8s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=249; n_clean=249; n_tramo=162; n_tail=101
2025-05-17,OK,OK,0.0,90.0,47.52823822795951,1.2624074074074074,50.62502368647164,50.94134914420288,3.924445993307515,50.62502368647164,,,none,1.202294117647059,5.0,0.064466049382716,,0.0,5.0,,,,Indef,Indef,Indef,BETA_NONE,src=Franz_Dunn_2025-05-17_07-16-28_RR.CSV; dur_raw=377.7s; dur_eff=362.7s; t_start_eff=90.0s; lat_mode=primary; dur_tramo=272.7s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=300; n_clean=300; n_tramo=216; n_tail=96
2025-05-19,OK,OK,1.6025641025641026,210.0,48.83279289986695,1.2286825396825394,53.33689154797083,53.74577422851662,3.9766282408647218,53.33689154797083,,,none,1.208023602033406,6.0,0.0877050199709514,,0.0,6.0,,,,Indef,Indef,Indef,BETA_NONE,src=Franz_Dunn_2025-05-19_07-25-29_RR.CSV; dur_raw=379.5s; dur_eff=364.5s; t_start_eff=210.0s; lat_mode=primary; dur_tramo=154.5s; dur_tail=120.0s; off=0; oor=0; dRR=5; n_base=312; n_clean=307; n_tramo=126; n_tail=98
2025-05-21,OK,OK,0.9287925696594428,30.0,51.472965489425306,1.1656604477611945,38.33212829892299,33.03317236037853,3.6462884035207592,38.33212829892299,,,none,1.213753086419753,7.0,0.0697543962029252,,0.0,7.0,,,0.72,Indef,Indef,Indef,BETA_NONE,src=Franz_Dunn_2025-05-21_07-56-20_RR.CSV; dur_raw=372.5s; dur_eff=357.5s; t_start_eff=45.0s; lat_mode=primary; dur_tramo=312.5s; dur_tail=120.0s; off=0; oor=0; dRR=3; n_base=323; n_clean=320; n_tramo=268; n_tail=106
2025-05-22,OK,OK,0.0,30.0,53.30888165175324,1.1255160142348757,34.5570439377312,36.66388392703894,3.542611406068429,34.5570439377312,,,none,1.208023602033406,8.0,0.0755466615336015,,0.0,8.0,,,1.24,Indef,Indef,Indef,BETA_NONE,src=Franz_Dunn_2025-05-22_08-10-46_RR.CSV; dur_raw=375.9s; dur_eff=360.9s; t_start_eff=45.0s; lat_mode=primary; dur_tramo=315.9s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=334; n_clean=334; n_tramo=281; n_tail=105
2025-05-23,OK,OK,0.0,120.0,49.486043960508674,1.212463054187192,44.57316823754704,41.39234869649516,3.797132068963087,44.57316823754704,,,none,1.202294117647059,9.0,0.0793955026455024,,0.0,9.0,,,-0.12,Indef,Indef,Indef,BETA_NONE,src=Franz_Dunn_2025-05-23_07-47-55_RR.CSV; dur_raw=380.4s; dur_eff=365.4s; t_start_eff=120.0s; lat_mode=primary; dur_tramo=245.4s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=314; n_clean=314; n_tramo=203; n_tail=99
2025-05-24,FLAG_mecánico,Unstable,0.2890173410404624,,54.54767749155922,1.099955172413793,43.55746313957816,34.09393489165478,3.7740810580671487,43.55746313957816,,,none,1.2073785859171255,10.0,0.0715697866487663,,0.0,10.0,,,1.66,Indef,Verde,Verde,LAT_NAN|STAB_LAST2_MISMATCH|BETA_NONE,src=Franz_Dunn_2025-05-24_08-21-25_RR.CSV; dur_raw=378.9s; dur_eff=363.9s; t_start_eff=45.0s; lat_mode=none; dur_tramo=318.9s; dur_tail=120.0s; off=0; oor=0; dRR=1; n_base=346; n_clean=345; n_tramo=290; n_tail=112
2025-05-25,OK,OK,0.0,150.0,51.16600366832614,1.1726536312849165,46.12909340564767,47.3287428629802,3.831443844344905,46.12909340564767,,,none,1.202294117647059,11.0,0.0838162874151899,,0.0,11.0,,,0.37,Indef,Verde,Verde,BETA_NONE,src=Franz_Dunn_2025-05-25_07-46-51_RR.CSV; dur_raw=374.7s; dur_eff=359.7s; t_start_eff=150.0s; lat_mode=primary; dur_tramo=209.7s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=322; n_clean=322; n_tramo=179; n_tail=102
2025-05-26,OK,OK,0.0,60.0,46.49830027221695,1.2903697478991596,57.72731622009362,57.75523064335098,4.055730479512982,57.72731622009362,,,none,1.1874738744659876,12.0,0.074141168398953,,0.0,12.0,,,-1.61,Indef,Verde,Verde,BETA_NONE,src=Franz_Dunn_2025-05-26_07-42-13_RR.CSV; dur_raw=382.4s; dur_eff=367.4s; t_start_eff=60.0s; lat_mode=primary; dur_tramo=307.4s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=303; n_clean=303; n_tramo=238; n_tail=94
2025-05-27,OK,OK,0.6430868167202572,120.0,48.33179899050824,1.241418719211823,44.651122855727,47.40825406183495,3.798879454950917,44.651122855727,,,none,1.202294117647059,13.0,0.0793955026455024,,0.0,13.0,,,-0.47,Indef,Verde,Verde,BETA_NONE,src=Franz_Dunn_2025-05-27_07-09-38_RR.CSV; dur_raw=387.3s; dur_eff=372.3s; t_start_eff=120.0s; lat_mode=primary; dur_tramo=252.3s; dur_tail=120.0s; off=1; oor=0; dRR=1; n_base=310; n_clean=309; n_tramo=203; n_tail=95
2025-05-28,OK,OK,1.2578616352201255,,49.547373833377485,1.2109622641509432,44.52795342662445,43.42669168864245,3.796117158848395,44.52795342662445,,,none,1.2073785859171255,14.0,0.0848542846114255,,0.0,14.0,,,0.03,Indef,Verde,Verde,LAT_NAN|BETA_NONE,src=Franz_Dunn_2025-05-28_07-42-21_RR.CSV; dur_raw=385.5s; dur_eff=370.5s; t_start_eff=45.0s; lat_mode=none; dur_tramo=325.5s; dur_tail=120.0s; off=1; oor=1; dRR=2; n_base=316; n_clean=314; n_tramo=265; n_tail=99
2025-05-29,FLAG_mecánico,Unstable,0.0,90.0,48.992135277677775,1.2246863636363636,46.802216705883424,39.19492855258729,3.845930567312221,46.802216705883424,,,none,1.2109622641509432,15.0,0.0775768870480655,,0.0,15.0,38.85466178298851,44.536996388808966,-0.2,Verde,Verde,Verde,STAB_LAST2_MISMATCH|BETA_NONE,src=Franz_Dunn_2025-05-29_07-32-52_RR.CSV; dur_raw=375.1s; dur_eff=360.1s; t_start_eff=90.0s; lat_mode=primary; dur_tramo=270.1s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=307; n_clean=307; n_tramo=220; n_tail=100
2025-05-30,OK,OK,0.0,90.0,45.90497596761027,1.3070478468899522,57.18660413337808,55.861336261218206,4.046319677485768,57.18660413337808,,,none,1.2117126591690677,16.0,0.0702994894847053,,0.0,16.0,39.63846200908678,44.55056083208575,-1.69,Verde,Verde,Verde,BETA_NONE,src=Franz_Dunn_2025-05-30_07-50-23_RR.CSV; dur_raw=378.4s; dur_eff=363.4s; t_start_eff=90.0s; lat_mode=primary; dur_tramo=273.4s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=292; n_clean=292; n_tramo=209; n_tail=91
2025-05-31,OK,OK,0.0,90.0,52.57519025370843,1.1412226890756303,33.42363296391236,33.17854026295586,3.509263223540188,33.42363296391236,,,none,1.212463054187192,17.0,0.0757582714506284,,0.0,17.0,40.42226223518505,44.56412527536253,1.24,Rojo,Rojo,Rojo,BETA_NONE,src=Franz_Dunn_2025-05-31_06-43-05_RR.CSV; dur_raw=376.8s; dur_eff=361.8s; t_start_eff=90.0s; lat_mode=primary; dur_tramo=271.8s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=332; n_clean=332; n_tramo=238; n_tail=104
2025-06-01,OK,OK,0.0,180.0,52.67371559506391,1.1390880503144654,41.483182500620025,39.67486909991308,3.7252881041554335,41.483182500620025,,,none,1.2117126591690677,18.0,0.0848542846114255,,0.0,18.0,36.63334033638668,44.53247490771671,1.18,Ámbar,Verde,Verde,BETA_NONE,src=Franz_Dunn_2025-06-01_06-34-59_RR.CSV; dur_raw=376.3s; dur_eff=361.3s; t_start_eff=180.0s; lat_mode=primary; dur_tramo=181.3s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=339; n_clean=339; n_tramo=159; n_tail=106
2025-06-02,OK,OK,0.0,120.0,48.53999543435686,1.2360940594059406,51.13609779316796,54.93006917891147,3.934490662555309,51.13609779316796,,,none,1.2109622641509432,19.0,0.0897957663908475,,0.0,19.0,37.19960299056545,43.94565925439667,-0.35,Verde,Verde,Verde,BETA_NONE,src=Franz_Dunn_2025-06-02_07-44-54_RR.CSV; dur_raw=384.5s; dur_eff=369.5s; t_start_eff=120.0s; lat_mode=primary; dur_tramo=249.5s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=317; n_clean=317; n_tramo=202; n_tail=97
2025-06-03,OK,OK,0.0,120.0,46.79241623430151,1.282259067357513,60.10732588462077,62.1071389076707,4.096131729031394,60.10732588462077,,,none,1.2117126591690677,20.0,0.0901542743107257,,0.0,20.0,37.765865644744224,44.23680634051056,-0.96,Verde,Verde,Verde,BETA_NONE,src=Franz_Dunn_2025-06-03_07-17-04_RR.CSV; dur_raw=382.4s; dur_eff=367.4s; t_start_eff=120.0s; lat_mode=primary; dur_tramo=247.4s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=297; n_clean=297; n_tramo=193; n_tail=92
2025-06-04,OK,OK,0.3401360544217687,120.0,46.68736112382554,1.285144385026738,57.86720058224527,60.54377248814922,4.058150740167279,57.86720058224527,,,none,1.212463054187192,21.0,0.0921316821747857,,0.0,21.0,38.33212829892299,44.52795342662445,-0.82,Verde,Verde,Verde,BETA_NONE,src=Franz_Dunn_2025-06-04_07-22-54_RR.CSV; dur_raw=375.7s; dur_eff=360.7s; t_start_eff=120.0s; lat_mode=primary; dur_tramo=240.7s; dur_tail=120.0s; off=0; oor=0; dRR=1; n_base=294; n_clean=293; n_tramo=187; n_tail=94
2025-06-05,OK,OK,0.0,60.0,51.74705498378255,1.1594862745098038,34.69728483329999,33.28925888753838,3.546661437012404,34.69728483329999,,,none,1.2131080703034725,22.0,0.1037798456404348,,0.0,22.0,38.80478642917755,44.54151786990123,0.68,Rojo,Ámbar,Ámbar,BETA_NONE,src=Franz_Dunn_2025-06-05_09-36-43_RR.CSV; dur_raw=370.5s; dur_eff=355.5s; t_start_eff=60.0s; lat_mode=primary; dur_tramo=295.5s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=322; n_clean=322; n_tramo=255; n_tail=104
2025-06-06,OK,OK,0.0,240.0,46.4767371699744,1.2909684210526315,50.2305323780141,50.375869827423976,3.9166230565115616,50.2305323780141,,,none,1.212463054187192,23.0,0.0975264075361945,,0.0,23.0,35.78773787298689,44.13975731180593,-0.75,Verde,Verde,Verde,BETA_NONE,src=Franz_Dunn_2025-06-06_07-37-56_RR.CSV; dur_raw=377.2s; dur_eff=362.2s; t_start_eff=240.0s; lat_mode=primary; dur_tramo=122.2s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=292; n_clean=292; n_tramo=95; n_tail=93
2025-06-07,OK,OK,0.0,30.0,50.30399878967823,1.1927481203007515,42.25430646803163,39.42229885558204,3.743706276846288,42.25430646803163,,,none,1.2131080703034725,24.0,0.1104338572533216,,0.0,24.0,36.332964392830334,44.43090439791982,0.46,Ámbar,Verde,Verde,BETA_NONE,src=Franz_Dunn_2025-06-07_08-42-51_RR.CSV; dur_raw=377.1s; dur_eff=362.1s; t_start_eff=45.0s; lat_mode=primary; dur_tramo=317.1s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=321; n_clean=321; n_tramo=266; n_tail=103
2025-06-09,OK,OK,0.3184713375796178,60.0,50.0500835843096,1.1987991967871483,39.55197682755872,38.58967822237084,3.677615675962248,39.55197682755872,,,none,1.212463054187192,25.0,0.1029211328976036,,0.0,25.0,36.87819091267379,43.75156119698741,0.55,Ámbar,Verde,Verde,BETA_NONE,src=Franz_Dunn_2025-06-09_10-12-29_RR.CSV; dur_raw=374.2s; dur_eff=359.2s; t_start_eff=60.0s; lat_mode=primary; dur_tramo=299.2s; dur_tail=120.0s; off=0; oor=0; dRR=1; n_base=314; n_clean=313; n_tramo=249; n_tail=99
2025-06-10,OK,OK,0.3205128205128205,270.0,51.47116166623959,1.165701298701299,47.45843056379916,47.45843056379916,3.859854181851466,47.45843056379916,,,none,1.2117126591690677,26.0,0.0961304175358597,,0.0,26.0,37.42341743251724,42.905884803804895,0.76,Verde,Verde,Verde,BETA_NONE,src=Franz_Dunn_2025-06-10_07-53-33_RR.CSV; dur_raw=374.2s; dur_eff=359.2s; t_start_eff=270.0s; lat_mode=primary; dur_tramo=89.2s; dur_tail=89.2s; off=0; oor=0; dRR=1; n_base=312; n_clean=311; n_tramo=77; n_tail=77
2025-06-11,OK,OK,0.0,,47.57242596902336,1.2612348178137651,35.658155659549344,32.68622758417082,3.573977890950219,35.658155659549344,,,none,1.2109622641509432,27.0,0.089339702174116,,0.0,27.0,37.96864395236069,43.29683180526885,-0.61,Rojo,Ámbar,Ámbar,LAT_NAN|BETA_NONE,src=Franz_Dunn_2025-06-11_07-23-06_RR.CSV; dur_raw=371.8s; dur_eff=356.8s; t_start_eff=45.0s; lat_mode=none; dur_tramo=311.8s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=296; n_clean=296; n_tramo=247; n_tail=96
2025-06-12,OK,OK,0.0,240.0,53.37092794924728,1.1242075471698112,30.32663452981157,30.32663452981157,3.412026353783527,30.32663452981157,,,none,1.2117126591690677,28.0,0.097411060763829,,0.0,27.0,35.56206857692441,42.10008167454931,1.28,Rojo,Rojo,Rojo,BETA_NONE,src=Franz_Dunn_2025-06-12_08-32-02_RR.CSV; dur_raw=374.5s; dur_eff=359.5s; t_start_eff=240.0s; lat_mode=primary; dur_tramo=119.5s; dur_tail=119.5s; off=0; oor=0; dRR=0; n_base=342; n_clean=342; n_tramo=106; n_tail=106
2025-06-13,OK,OK,0.0,30.0,51.31193857770907,1.1693185185185186,38.51297275765623,39.77021376498524,3.650995139281556,38.51297275765623,,,none,1.2109622641509432,29.0,0.1017485433039613,,0.0,27.0,34.68326074374311,41.09694136600776,0.34,Ámbar,Verde,Verde,BETA_NONE,src=Franz_Dunn_2025-06-13_07-47-03_RR.CSV; dur_raw=375.4s; dur_eff=360.4s; t_start_eff=45.0s; lat_mode=primary; dur_tramo=315.4s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=325; n_clean=325; n_tramo=270; n_tail=104
2025-06-14,OK,OK,0.0,,50.68046721843659,1.1838880597014927,40.74139692279799,42.11625394255579,3.707244698939288,40.74139692279799,,,none,1.206628190899001,30.0,0.0952509753406281,,0.0,27.0,34.68326074374311,39.34417601357822,0.11,Verde,Verde,Verde,LAT_NAN|BETA_NONE,src=Franz_Dunn_2025-06-14_07-04-26_RR.CSV; dur_raw=377.8s; dur_eff=362.8s; t_start_eff=45.0s; lat_mode=none; dur_tramo=317.8s; dur_tail=120.0s; off=0; oor=0; dRR=0; n_base=321; n_clean=321; n_tramo=268; n_tail=105
2025-06-16,FLAG_mecánico,Unstable,0.4938271604938271,60.0,57.55529523250305,1.0424757575757575,34.139442288309844,25.807288292888465,3.530453381213817,34.139442288309844,,,none,1.202294117647059,31.0,0.088753407377295,,0.0,26.0,35.417937952987,40.146686875178354,3.1,Rojo,Ámbar,Ámbar,STAB_LAST2_MISMATCH|BETA_NONE,src=Franz_Dunn_2025-06-16_06-32-02_RR.CSV; dur_raw=422.9s; dur_eff=407.9s; t_start_eff=60.0s; lat_mode=primary; dur_tramo=347.9s; dur_tail=120.0s; off=0; oor=1; dRR=1; n_base=404; n_clean=403; n_tramo=330; n_tail=125
