window_start,window_end,sport,n_sessions_total,n_sessions_usable,total_duration_min,z1_total_min,z2_total_min,z3_total_min,z1_pct_weighted,z2_pct_weighted,z3_pct_weighted,work_total_min,work_n_blocks,work_longest_min,work_avg_z3_pct_weighted,zones_source_mix,intensity_category_mix,distribution_pattern,distribution_confidence,distribution_notes
2025-05-12,2025-05-18,bike,2,2,391.4,282.9,78.5,29.7,72.3,20.1,7.6,96.5,11,19.4,28.4,icu=2,work_intense=1;work_steady=1,pyramidal,moderate,minimum_weekly_support
2025-05-12,2025-05-18,trail_run,2,2,177.5,130.9,42.9,3.4,73.9,24.2,1.9,43.8,4,15.7,5.0,icu=2,easy=1;work_steady=1,pyramidal,moderate,minimum_weekly_support
2025-05-19,2025-05-25,bike,2,2,504.3,473.2,28.3,2.4,93.9,5.6,0.5,22.5,3,11.8,10.1,icu=2,work_intense=1;work_moderate=1,pyramidal,moderate,minimum_weekly_support
2025-05-19,2025-05-25,road_run,1,1,18.3,16.8,0.3,0.0,98.2,1.8,0.0,0.0,0,0.0,0.0,icu=1,easy=1,pyramidal,low,too_few_sessions;too_few_usable_sessions;low_total_duration
2025-05-19,2025-05-25,trail_run,1,1,81.1,62.5,18.4,0.0,77.3,22.7,0.0,10.7,2,7.0,0.0,icu=1,work_moderate=1,pyramidal,low,too_few_sessions;too_few_usable_sessions;low_total_duration
2025-05-26,2025-06-01,bike,3,3,331.8,302.0,13.4,15.9,91.2,4.0,4.8,24.9,5,6.2,59.0,icu=3,easy=2;work_intense=1,polarized,high,
2025-05-26,2025-06-01,trail_run,2,2,172.8,168.3,4.1,0.0,97.6,2.4,0.0,0.0,0,0.0,0.0,icu=2,easy=2,pyramidal,moderate,minimum_weekly_support
2025-06-02,2025-06-08,road_run,4,4,86.2,77.3,4.1,0.0,95.0,5.0,0.0,0.0,0,0.0,0.0,icu=4,easy=4,pyramidal,moderate,low_total_duration
2025-06-02,2025-06-08,trail_run,1,1,100.2,94.7,5.2,0.0,94.8,5.2,0.0,0.0,0,0.0,0.0,icu=1,easy=1,pyramidal,low,too_few_sessions;too_few_usable_sessions
2025-06-09,2025-06-15,road_run,1,1,83.7,76.9,4.3,0.0,94.7,5.3,0.0,0.0,0,0.0,0.0,icu=1,easy=1,pyramidal,low,too_few_sessions;too_few_usable_sessions;low_total_duration
2025-06-09,2025-06-15,trail_run,2,2,97.6,75.6,13.7,7.7,77.9,14.1,7.9,3.0,1,3.0,7.0,icu=2,easy=1;finish_strong=1,pyramidal,moderate,minimum_weekly_support
2025-06-16,2025-06-22,bike,1,1,91.5,87.9,3.4,0.0,96.3,3.7,0.0,3.5,1,3.5,0.0,icu=1,easy=1,pyramidal,low,too_few_sessions;too_few_usable_sessions
2025-06-16,2025-06-22,road_run,2,2,94.2,17.9,75.7,0.0,19.1,80.9,0.0,78.2,1,78.2,0.0,icu=2,work_steady=1;easy=1,threshold,moderate,minimum_weekly_support
2025-06-16,2025-06-22,trail_run,1,1,73.7,52.1,18.7,2.2,71.4,25.6,3.0,5.3,1,5.3,0.0,icu=1,work_moderate=1,pyramidal,low,too_few_sessions;too_few_usable_sessions;low_total_duration
2025-06-23,2025-06-29,bike,2,2,538.0,499.2,37.4,0.0,93.0,7.0,0.0,17.2,4,6.2,0.0,icu=2,work_moderate=2,pyramidal,moderate,minimum_weekly_support
2025-06-23,2025-06-29,hike,2,2,451.0,407.9,36.6,0.0,91.8,8.2,0.0,11.6,3,4.5,0.0,icu=2,easy=1;work_moderate=1,pyramidal,moderate,minimum_weekly_support
2025-06-23,2025-06-29,road_run,1,1,21.6,14.8,2.7,3.4,70.8,12.9,16.3,5.9,1,5.9,52.0,icu=1,work_moderate=1,polarized,low,too_few_sessions;too_few_usable_sessions;low_total_duration
2025-06-23,2025-06-29,trail_run,1,1,114.6,109.8,3.4,0.0,97.0,3.0,0.0,0.0,0,0.0,0.0,icu=1,easy=1,pyramidal,low,too_few_sessions;too_few_usable_sessions
2025-06-30,2025-07-06,bike,2,2,250.0,231.1,18.1,0.0,92.7,7.3,0.0,0.0,0,0.0,0.0,icu=2,easy=2,pyramidal,moderate,minimum_weekly_support
2025-06-30,2025-07-06,road_run,1,1,75.7,48.6,23.4,3.2,64.6,31.1,4.3,35.9,3,27.6,9.0,icu=1,work_steady=1,pyramidal,low,too_few_sessions;too_few_usable_sessions;low_total_duration
