"session_id","route_id","Fecha","start_time","sport","sport_raw","source","vt1_used","vt2_used","zones_source","duration_min","moving_min","distance_km","elev_gain_m","elev_loss_m","elev_density","calories","hr_mean","hr_max","hr_p95","average_cadence","hrr_drop_bpm","average_weather_temp","z1_pct","z2_pct","z3_pct","z1_total_min","z2_total_min","z3_total_min","work_n_blocks","work_total_min","work_longest_min","work_avg_z3_pct","work_blocks_min","work_blocks_z3pct","late_intensity","cardiac_drift_pct","mechanics_source","polar_sport_raw","polar_start_delta_min","polar_duration_gap_min","run_power_available","run_power_mean","run_power_max","run_power_p95","speed_first_half","speed_second_half","cadence_first_half","cadence_second_half","polar_speed_available","polar_cadence_available","run_power_first_half","run_power_second_half","durability_applicable","speed_ratio","power_ratio","load","trimp","rpe","feel","icu_weighted_avg_watts","icu_joules_above_ftp","icu_max_wbal_depletion","decoupling","intensity_category","effort_vs_recent","effort_vs_anchor","session_group","notes_raw","rpe_present","notes_present","pipeline_version","stream_dt_est"
"i78195703","","2025-05-12","17:27","strength","WeightTraining","intervals","142","163","icu","81.3","81.3","0.0","","","","372.0","93.0","120.0","","","","","100.0","0.0","0.0","81.3","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","17.0","29.6879","","","","","","","NA","unknown","above","strength_unknown","","0","0","v3.11",""
"i78318654","5856996.0","2025-05-13","14:02","trail_run","TrailRun","intervals","143","161","icu","85.0","84.8","11.44","262.5","264.5","22.9","827.0","129.0","148.0","137.0","80.59362","","21.826859","99.0","1.0","0.0","83.7","0.9","0.0","0","0.0","0.0","0","","","0.0","0.5","intervals_fit","running trail","","","0.0","","","","8.11","8.33","80.3","80.9","1.0","1.0","","","0","1.027","","57.0","102.46781","","","","","","","easy","unknown","typical","endurance_easy","","0","0","v3.11","1.0"
"i78491699","5856997.0","2025-05-14","15:25","bike","Ride","intervals","139","156","icu","112.8","108.6","34.35","768.0","756.0","22.4","1113.0","136.0","169.0","164.0","","70.0","18.803532","44.0","33.8","22.3","47.7","36.6","24.2","5","58.1","19.4","38","3.6;13.5;19.4;7.8;13.8","29;81;16;40;28","0.0","-15.6","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","102.0","165.29716","","","","","","","work_intense","unknown","unknown","endurance_hard","","0","0","v3.11","1.0"
"i78651246","","2025-05-15","14:08","strength","WeightTraining","intervals","142","163","icu","35.5","35.5","0.0","","","","151.0","92.0","127.0","","","","","100.0","0.0","0.0","35.5","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","7.0","11.793391","","","","","","","NA","unknown","below","strength_unknown","","0","0","v3.11",""
"i78651134","","2025-05-15","15:23","swim","Swim","intervals","134","149","icu","45.4","44.6","1.3","","","","367.0","116.0","133.0","124.0","35.0","","","100.0","0.0","0.0","44.6","0.0","0.0","0","0.0","0.0","0","","","1.0","-2.5","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","19.0","35.042126","","","","","","","finish_strong","unknown","typical","endurance_easy","","0","0","v3.11","1.0"
"i78651039","","2025-05-15","16:15","strength","WeightTraining","intervals","142","163","icu","41.7","41.6","0.0","","","","286.0","109.0","137.0","","","","","100.0","0.0","0.0","41.7","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","15.0","25.726917","","","","","","","NA","unknown","typical","strength_unknown","","0","0","v3.11",""
"i78726363","","2025-05-16","07:52","other","Other","intervals","142","163","icu","5.0","5.0","0.0","","","","7.0","50.0","60.0","","","","","100.0","0.0","0.0","5.0","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","0.0","0.02430598","","","","","","","NA","unknown","unknown","other","","0","0","v3.11",""
"i78789217","5857000.0","2025-05-16","15:14","trail_run","TrailRun","intervals","143","161","icu","95.6","92.7","10.99","577.0","599.0","52.5","1061.0","142.0","166.0","161.0","","10.0","20.95847","51.0","45.4","3.6","47.2","42.0","3.4","4","43.8","15.7","5","15.7;9.2;12.4;6.5","1;3;3;24","0.0","18.0","intervals_fit","running trail","","","0.0","","","","7.95","6.66","","","1.0","0.0","","","0","0.838","","94.0","158.89565","","","","","","","work_steady","unknown","typical","endurance_moderate","","0","0","v3.11","1.001"
"i78867005","","2025-05-17","08:50","swim","Swim","intervals","134","149","icu","62.9","62.1","2.0","","","","545.0","121.0","149.0","138.0","24.0","","","91.1","8.9","0.0","56.6","5.5","0.0","1","4.8","4.8","0","4.8","0","0.0","-4.3","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","35.0","61.607292","","","","","","","easy","unknown","typical","endurance_easy","","0","0","v3.11","1.0"
"i79031523","5857001.0","2025-05-18","08:07","bike","Ride","intervals","139","156","icu","298.0","282.8","104.56","644.0","663.0","6.2","2611.0","124.0","167.0","148.0","","","20.684969","83.2","14.8","2.0","235.2","41.9","5.5","6","38.4","12.0","14","6.5;4.5;12.0;4.1;4.8;6.5","0;10;0;0;78;20","0.0","14.5","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","179.0","290.2644","","","","","","","work_steady","unknown","above","endurance_moderate","","0","0","v3.11","1.0"
