Fecha,n_sessions,total_duration_min,has_aerobic,has_strength,has_mobility,load_day,intensity_cat_day,intense_day,work_total_min_day,work_n_blocks_day,z3_min_day,hr_max_day,hr_p95_max_day,late_intensity_day,cardiac_drift_worst,elev_gain_day,elev_loss_day,strength_min_day,mobility_min_day,rpe_max_day,effort_above_typical_aerobic,effort_above_typical_strength,effort_above_anchor_aerobic,n_with_rpe,n_with_notes,elev_density_day,intense_days_prev_3d,intense_days_prev_5d,intensity_clustering_flag,intensity_clustering_level,dominant_family_prev_7d,dominant_family_share_prev_7d,n_sessions_usable_prev_7d,z1_pct_weighted_prev_7d,z2_pct_weighted_prev_7d,z3_pct_weighted_prev_7d,distribution_signal_confidence_prev_7d,polarisation_index_prev_7d,intensity_blackhole_flag,intensity_blackhole_episode_id,intensity_blackhole_episode_len,z3_7d_sum,z3_7d_nobs,work_7d_sum,work_7d_nobs,finish_strong_7d_count,load_3d,load_3d_nobs,load_7d,load_7d_nobs,load_14d,load_14d_nobs,load_28d,load_28d_nobs,acwr_simple_prev,monotony_7d_prev,strain_7d_prev,load_ctx_ready,elev_loss_7d_sum
2025-05-12,1.0,81.3,0.0,1.0,0.0,17.0,NA,0,,,,,,,,,,81.3,0.0,,0.0,0.0,0.0,0.0,0.0,,0,0,0,,,,0,,,,,,False,,,,0,,0,,,0,,0,,0,,0,,,,False,
2025-05-13,1.0,85.0,1.0,0.0,0.0,57.0,easy,0,0.0,0.0,0.0,148.0,137.0,0.0,0.5,262.0,264.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,22.9,0,0,0,,,,0,,,,,,False,,,0.0,0,0.0,0,0.0,17.0,1,17.0,1,17.0,1,17.0,1,4.0,,,False,0.0
2025-05-14,1.0,112.8,1.0,0.0,0.0,102.0,work_intense,1,58.1,5.0,24.2,169.0,164.0,0.0,-15.6,768.0,756.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,22.4,0,0,0,,run_family,1.0,1,98.9,1.1,0.0,low,89.909,False,,,0.0,1,0.0,1,0.0,74.0,2,74.0,2,74.0,2,74.0,2,4.0,,,False,264.0
2025-05-15,3.0,122.6,1.0,1.0,0.0,41.0,finish_strong,0,0.0,0.0,0.0,133.0,124.0,1.0,-2.5,,,77.2,0.0,,0.0,0.0,0.0,0.0,0.0,,1,1,0,,,,0,,,,,,False,,,24.2,2,58.1,2,0.0,176.0,3,176.0,3,176.0,3,176.0,3,4.0,1.69,297.4,False,1020.0
2025-05-16,2.0,100.6,1.0,0.0,0.0,94.0,work_steady,0,43.8,4.0,3.4,166.0,161.0,0.0,18.0,577.0,599.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,52.5,1,1,0,,,,0,,,,,,False,,,24.2,3,58.1,3,1.0,200.0,3,217.0,4,217.0,4,217.0,4,4.0,1.748,379.4,False,1020.0
2025-05-17,1.0,62.9,1.0,0.0,0.0,35.0,easy,0,4.8,1.0,0.0,149.0,138.0,0.0,-4.3,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1,1,0,,run_family,0.62,2,73.9,24.2,1.9,moderate,3.132,False,,,27.6,4,101.9,4,1.0,237.0,3,311.0,5,311.0,5,311.0,5,4.0,1.945,604.8,False,1619.0
2025-05-18,1.0,298.0,1.0,0.0,0.0,179.0,work_steady,0,38.4,6.0,5.5,167.0,148.0,0.0,14.5,644.0,663.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,6.2,0,1,0,,run_family,0.62,2,73.9,24.2,1.9,moderate,3.132,False,,,27.6,5,106.7,5,1.0,170.0,3,346.0,6,346.0,6,346.0,6,4.0,1.866,645.6,False,1619.0
2025-05-19,1.0,60.6,0.0,1.0,0.0,11.0,NA,0,,,,,,,,,,60.6,0.0,,0.0,0.0,0.0,0.0,0.0,,0,1,0,,bike_family,0.688,2,72.3,20.1,7.6,moderate,3.975,False,,,33.1,6,145.1,6,1.0,308.0,3,525.0,7,525.0,7,525.0,7,4.0,1.465,769.0,False,2282.0
2025-05-20,1.0,81.3,1.0,0.0,0.0,68.0,work_moderate,0,10.7,2.0,0.0,157.0,152.0,0.0,7.3,302.0,300.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,25.7,0,0,0,,bike_family,0.688,2,72.3,20.1,7.6,moderate,3.975,False,,,33.1,6,145.1,6,1.0,225.0,3,519.0,7,536.0,8,536.0,8,3.873,1.42,737.1,False,2282.0
2025-05-21,1.0,85.8,1.0,0.0,0.0,53.0,easy,0,0.0,0.0,0.0,147.0,139.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0,0,0,,bike_family,0.692,2,72.3,20.1,7.6,moderate,3.975,False,,,33.1,6,155.8,6,1.0,258.0,3,530.0,7,604.0,9,604.0,9,3.51,1.461,774.3,False,2318.0
2025-05-22,1.0,108.6,0.0,1.0,0.0,31.0,NA,0,,,,,,,,,,108.6,0.0,,0.0,0.0,0.0,0.0,0.0,,0,0,0,,,,0,,,,,,False,,,8.9,6,97.7,6,1.0,132.0,3,481.0,7,657.0,10,657.0,10,2.928,1.344,646.7,False,1562.0
