Fecha,polar_sleep_duration_min,polar_sleep_span_min,polar_deep_pct,polar_rem_pct,polar_efficiency_pct,polar_continuity,polar_continuity_index,polar_interruptions_long,polar_interruptions_total,polar_sleep_score,polar_night_rmssd,polar_night_rri,polar_night_resp,sleep_dur_p10,sleep_dur_p90,sleep_int_p90
2025-05-12,387.5,411.0,,,94.2822384428224,3.0,3.3,3.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-05-13,474.0,506.0,,,93.67588932806323,2.0,2.9,10.0,30.0,,,,,363.0,494.70000000000005,8.0
2025-05-14,417.5,443.0,,,94.24379232505645,2.0,2.6,2.0,31.0,,,,,363.0,494.70000000000005,8.0
2025-05-15,,,,,,,,,,,,,,363.0,494.70000000000005,8.0
2025-05-16,400.0,424.0,,,94.33962264150944,2.0,2.7,3.0,29.0,,,,,363.0,494.70000000000005,8.0
2025-05-17,397.0,412.5,,,96.24242424242424,4.0,4.1,2.0,20.0,,,,,363.0,494.70000000000005,8.0
2025-05-18,370.5,401.0,,,92.39401496259352,2.0,2.4,7.0,31.0,,,,,363.0,494.70000000000005,8.0
2025-05-19,392.0,419.5,,,93.4445768772348,2.0,2.7,4.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-05-20,448.0,472.0,,,94.91525423728814,2.0,2.6,2.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-05-21,412.0,443.5,,,92.89740698985344,2.0,2.6,3.0,32.0,,,,,363.0,494.70000000000005,8.0
2025-05-22,466.5,498.0,,,93.67469879518072,2.0,2.8,6.0,30.0,,,,,363.0,494.70000000000005,8.0
2025-05-23,454.0,481.5,,,94.28868120456906,2.0,2.9,2.0,27.0,,,,,363.0,494.70000000000005,8.0
2025-05-24,407.5,433.5,,,94.00230680507498,2.0,2.9,2.0,26.0,,,,,363.0,494.70000000000005,8.0
2025-05-25,386.5,420.0,,,92.02380952380952,2.0,2.4,6.0,31.0,,,,,363.0,494.70000000000005,8.0
2025-05-26,436.0,459.0,,,94.98910675381264,2.0,2.8,2.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-05-27,382.0,405.0,,,94.320987654321,3.0,3.9,4.0,17.0,,,,,363.0,494.70000000000005,8.0
2025-05-28,529.5,561.0,,,94.38502673796792,2.0,2.8,5.0,35.0,,,,,363.0,494.70000000000005,8.0
2025-05-29,369.5,386.0,,,95.72538860103629,3.0,3.7,1.0,19.0,,,,,363.0,494.70000000000005,8.0
2025-05-30,,,,,,,,,,,,,,363.0,494.70000000000005,8.0
2025-05-31,461.0,485.0,,,95.05154639175257,2.0,2.9,2.0,29.0,,,,,363.0,494.70000000000005,8.0
2025-06-01,345.0,360.5,,,95.7004160887656,2.0,2.9,0.0,21.0,,,,,363.0,494.70000000000005,8.0
2025-06-02,387.0,419.5,,,92.25268176400476,2.0,2.3,3.0,29.0,,,,,363.0,494.70000000000005,8.0
2025-06-03,407.5,423.5,,,96.22195985832349,3.0,3.6,1.0,22.0,,,,,363.0,494.70000000000005,8.0
2025-06-04,472.0,512.0,,,92.1875,2.0,2.3,10.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-06-05,,,,,,,,,,,,,,363.0,494.70000000000005,8.0
2025-06-06,420.0,445.0,,,94.3820224719101,3.0,3.1,4.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-06-07,419.0,436.0,,,96.10091743119266,3.0,3.7,2.0,22.0,,,,,363.0,494.70000000000005,8.0
2025-06-08,318.0,349.0,,,91.11747851002865,3.0,3.2,5.0,20.0,,,,,363.0,494.70000000000005,8.0
2025-06-09,510.0,545.0,,,93.57798165137616,3.0,3.0,7.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-06-10,433.0,458.0,,,94.5414847161572,2.0,2.7,5.0,29.0,,,,,363.0,494.70000000000005,8.0
2025-06-11,420.5,449.0,,,93.65256124721604,3.0,3.1,5.0,26.0,,,,,363.0,494.70000000000005,8.0
2025-06-12,434.0,469.5,,,92.43876464323748,2.0,2.0,3.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-06-13,547.0,599.5,,,91.24270225187657,2.0,2.4,7.0,40.0,,,,,363.0,494.70000000000005,8.0
2025-06-14,434.0,480.0,,,90.41666666666669,2.0,2.5,11.0,32.0,,,,,363.0,494.70000000000005,8.0
2025-06-15,459.0,527.5,,,87.01421800947867,1.0,1.9,8.0,42.0,,,,,363.0,494.70000000000005,8.0
2025-06-16,439.0,478.5,,,91.74503657262278,2.0,2.4,4.0,37.0,,,,,363.0,494.70000000000005,8.0
2025-06-17,449.5,476.0,,,94.4327731092437,2.0,2.9,4.0,32.0,,,,,363.0,494.70000000000005,8.0
2025-06-18,413.0,438.0,,,94.29223744292236,3.0,3.6,4.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-06-19,368.5,392.5,,,93.88535031847134,2.0,2.9,3.0,23.0,,,,,363.0,494.70000000000005,8.0
2025-06-20,417.5,442.5,,,94.35028248587572,3.0,3.5,3.0,30.0,,,,,363.0,494.70000000000005,8.0
2025-06-21,390.0,421.0,,,92.63657957244656,2.0,2.5,3.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-06-22,389.0,415.5,,,93.62214199759326,2.0,2.5,2.0,33.0,,,,,363.0,494.70000000000005,8.0
2025-06-23,415.5,449.0,,,92.53897550111358,2.0,2.1,4.0,38.0,,,,,363.0,494.70000000000005,8.0
2025-06-24,379.5,419.5,,,90.46483909415971,1.0,1.5,8.0,42.0,,,,,363.0,494.70000000000005,8.0
2025-06-25,432.0,465.5,,,92.8034371643394,2.0,2.2,3.0,40.0,,,,,363.0,494.70000000000005,8.0
2025-06-26,434.5,476.5,,,91.18572927597062,1.0,1.5,7.0,41.0,,,,,363.0,494.70000000000005,8.0
2025-06-27,452.5,474.5,,,95.36354056902002,2.0,2.9,0.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-06-28,356.5,371.5,,,95.96231493943472,4.0,4.1,2.0,16.0,,,,,363.0,494.70000000000005,8.0
2025-06-29,408.5,438.5,,,93.15849486887116,2.0,2.4,4.0,30.0,,,,,363.0,494.70000000000005,8.0
2025-06-30,292.5,304.5,,,96.0591133004926,4.0,4.1,1.0,14.0,,,,,363.0,494.70000000000005,8.0
2025-07-01,431.5,466.0,,,92.59656652360516,2.0,2.0,4.0,41.0,,,,,363.0,494.70000000000005,8.0
2025-07-02,385.0,426.0,,,90.3755868544601,2.0,2.7,7.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-07-03,258.5,278.0,,,92.98561151079136,3.0,3.0,5.0,18.0,,,,,363.0,494.70000000000005,8.0
2025-07-04,426.0,455.0,,,93.62637362637362,2.0,2.2,3.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-07-05,423.5,456.5,,,92.7710843373494,2.0,2.0,3.0,37.0,,,,,363.0,494.70000000000005,8.0
2025-07-06,313.0,329.5,,,94.99241274658571,3.0,3.5,1.0,22.0,,,,,363.0,494.70000000000005,8.0
2025-07-07,407.5,441.0,,,92.40362811791384,1.0,1.9,4.0,35.0,,,,,363.0,494.70000000000005,8.0
2025-07-08,337.0,356.0,,,94.6629213483146,3.0,3.5,4.0,18.0,,,,,363.0,494.70000000000005,8.0
2025-07-09,415.5,455.5,,,91.218441273326,2.0,2.1,7.0,40.0,,,,,363.0,494.70000000000005,8.0
2025-07-10,430.0,460.5,,,93.37676438653637,2.0,2.4,3.0,33.0,,,,,363.0,494.70000000000005,8.0
